Entity,Year,Lifeexpectancy,Race,Sex,Avg_Life_Expec,Age_Adj_Death_Rate
Australia,1802,34.049999,All Races,Both Sexes,78.9,724.6
Australia,1803,34.049999,All Races,Both Sexes,78.8,731.9
Australia,1804,34.049999,All Races,Both Sexes,78.8,732.8
Australia,1805,34.049999,All Races,Both Sexes,78.7,741.3
Australia,1806,34.049999,All Races,Both Sexes,78.7,747
Australia,1807,34.049999,All Races,Both Sexes,78.5,749.6
Australia,1808,34.049999,All Races,Both Sexes,78.2,774.9
Australia,1809,34.049999,All Races,Both Sexes,78.1,775.3
Australia,1810,34.049999,All Races,Both Sexes,77.8,791.8
Australia,1811,34.049999,All Races,Both Sexes,77.6,815
Australia,1812,34.049999,All Races,Both Sexes,77.5,813.7
Australia,1877,37.754509,All Races,Both Sexes,77.6,843.5
Australia,1878,38.283726,All Races,Both Sexes,77,855.9
Australia,1879,38.812943,All Races,Both Sexes,77,858.8
Australia,1880,39.342155,All Races,Both Sexes,76.8,869
Australia,1881,39.871372,All Races,Both Sexes,76.7,875.6
Australia,1882,40.400589,All Races,Both Sexes,76.7,870.1
Australia,1883,40.929806,All Races,Both Sexes,76.5,877.7
Australia,1884,41.459019,All Races,Both Sexes,76.1,893.7
Brazil,1972,59.644001,All Races,Both Sexes,75.8,909.5
Brazil,1973,60.042,All Races,Both Sexes,75.7,913.2
Brazil,1974,60.443001,All Races,Both Sexes,75.5,925.8
Brazil,1975,60.844002,All Races,Both Sexes,75.8,905.3
Brazil,1976,61.236,All Races,Both Sexes,75.5,921.9
Brazil,1977,61.615002,All Races,Both Sexes,75.4,938
Brazil,1978,61.978001,All Races,Both Sexes,75.1,949.9
Brazil,1979,62.327999,All Races,Both Sexes,74.9,975.1
Brazil,1980,62.668999,All Races,Both Sexes,74.9,969.6
Brazil,1981,63.007999,All Races,Both Sexes,74.7,978.4
Brazil,1982,63.353001,All Races,Both Sexes,74.7,987.8
Brazil,1983,63.709999,All Races,Both Sexes,74.7,982.1
Brazil,1984,64.081001,All Races,Both Sexes,74.6,990
Brazil,1985,64.466003,All Races,Both Sexes,74.5,984.9
Brazil,1986,64.862,All Races,Both Sexes,74.1,1007
Brazil,1987,65.264,All Races,Both Sexes,73.7,1038.7
Brazil,1988,65.667,All Races,Both Sexes,73.9,1010.6
Brazil,1989,66.068001,All Races,Both Sexes,73.5,1043.7
Brazil,1990,68.410004,All Races,Both Sexes,73.3,1051.6
Brazil,1991,68.739998,All Races,Both Sexes,72.9,1084.1
Brazil,1992,68.910004,All Races,Both Sexes,72.6,1094.4
Brazil,1993,69.129997,All Races,Both Sexes,72,1151.8
Brazil,1994,69.379997,All Races,Both Sexes,71.4,1201.2
Brazil,1995,69.660004,All Races,Both Sexes,71.2,1214.8
Brazil,1996,69.959999,All Races,Both Sexes,71.1,1213.1
Brazil,1997,70.339996,All Races,Both Sexes,70.8,1222.6
Brazil,1998,70.669998,All Races,Both Sexes,70.5,1271.8
Brazil,1999,70.980003,All Races,Both Sexes,70.2,1304.5
Brazil,2000,71.360001,All Races,Both Sexes,70.5,1274
Brazil,2001,71.760002,All Races,Both Sexes,70.2,1309
Brazil,2002,72.059998,All Races,Both Sexes,70.2,1306.5
Brazil,2003,72.330002,All Races,Both Sexes,70.2,1303.8
Brazil,2004,72.620003,All Races,Both Sexes,69.9,1346.3
Brazil,2005,72.93,All Races,Both Sexes,70.1,1323.6
